condition,query,database,same_model,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
unaligned_pca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_pca,gpfm,hoptimus0,False,0.0,0.0004,0.0006,0.001342259551081622,0.001342259551081622,2932.5,0.09365101369928937,5000.0,5000.0
unaligned_pca,gpfm,virchow2,False,0.0006,0.0026,0.0064,0.0035398706064466027,0.0035398706064466027,1942.5,0.10047898680479841,5000.0,5000.0
unaligned_pca,hoptimus0,gpfm,False,0.0,0.0004,0.0006,0.0013345994566922059,0.0013345994566922059,2886.0,0.09392103338721462,5000.0,5000.0
unaligned_pca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_pca,hoptimus0,virchow2,False,0.0,0.0004,0.0006,0.0011554059039234343,0.0011554059039234343,2634.0,0.0928582797793171,5000.0,5000.0
unaligned_pca,virchow2,gpfm,False,0.0002,0.0012,0.0026,0.0023293434304552164,0.0023293434304552164,1927.5,0.09846030754240448,5000.0,5000.0
unaligned_pca,virchow2,hoptimus0,False,0.0,0.0004,0.0006,0.0010871646902894537,0.0010871646902894537,2669.0,0.09274835786462059,5000.0,5000.0
unaligned_pca,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,gpfm,hoptimus0,False,0.0002,0.0008,0.001,0.0015812966956383313,0.0015812966956383313,2662.5,0.09413416691895976,5000.0,5000.0
unaligned_truncate,gpfm,virchow2,False,0.0,0.0016,0.0018,0.0019367666611569535,0.0019367666611569535,2404.5,0.09561145818417556,5000.0,5000.0
unaligned_truncate,hoptimus0,gpfm,False,0.0002,0.0008,0.001,0.001643566698508497,0.001643566698508497,2661.0,0.0940575495352276,5000.0,5000.0
unaligned_truncate,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
unaligned_truncate,hoptimus0,virchow2,False,0.0,0.001,0.002,0.0017234840885084332,0.0017234840885084332,2351.0,0.09550412897274226,5000.0,5000.0
unaligned_truncate,virchow2,gpfm,False,0.0002,0.001,0.0024,0.001948226628848271,0.001948226628848271,2430.5,0.09572684347603039,5000.0,5000.0
unaligned_truncate,virchow2,hoptimus0,False,0.0002,0.0008,0.0018,0.0018271708510540115,0.0018271708510540115,2344.5,0.09546162347963896,5000.0,5000.0
unaligned_truncate,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,gpfm,hoptimus0,False,0.9818,0.9974,0.9986,0.9885879702002978,0.9885879702002978,1.0,0.9913774462985507,5000.0,5000.0
joint_pca,gpfm,virchow2,False,0.945,0.9884,0.9944,0.9643656264572185,0.9643656264572185,1.0,0.9728593523789121,5000.0,5000.0
joint_pca,hoptimus0,gpfm,False,0.983,0.9982,0.9994,0.9900077417027416,0.9900077417027416,1.0,0.9924905179560938,5000.0,5000.0
joint_pca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
joint_pca,hoptimus0,virchow2,False,0.9418,0.9884,0.9942,0.9626950629608302,0.9626950629608302,1.0,0.9716216051093605,5000.0,5000.0
joint_pca,virchow2,gpfm,False,0.957,0.9918,0.9966,0.9722354817802785,0.9722354817802785,1.0,0.9789101292831685,5000.0,5000.0
joint_pca,virchow2,hoptimus0,False,0.9488,0.9912,0.9964,0.9678415297551001,0.9678415297551001,1.0,0.9756293636989579,5000.0,5000.0
joint_pca,virchow2,virchow2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,gpfm,gpfm,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,gpfm,hoptimus0,False,0.9984,0.9998,1.0,0.9990785714285714,0.9990785714285714,1.0,0.9993099176825672,5000.0,5000.0
gcca,gpfm,virchow2,False,0.999,0.9998,1.0,0.9994333333333334,0.9994333333333334,1.0,0.9995759852402787,5000.0,5000.0
gcca,hoptimus0,gpfm,False,0.9992,1.0,1.0,0.9995666666666666,0.9995666666666666,1.0,0.9996785578521427,5000.0,5000.0
gcca,hoptimus0,hoptimus0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
gcca,hoptimus0,virchow2,False,0.997,0.9998,1.0,0.9982555555555555,0.9982555555555555,1.0,0.9986943361295049,5000.0,5000.0
