model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CTransPath,Prov-GigaPath,0.6598401973849851,0.7054431968350816,0.6549956212689241,0.7208587455956816,0.6945896084084939,0.662947390055974,0.8435500661472614
CTransPath,KEEP,0.608078008584067,0.6265238189517317,0.45064929928380126,0.5658927316738485,0.6429531276128964,0.5560374648613328,0.7918499748191827
CTransPath,ResNet50 (ImageNet),0.6501235830553079,0.7134155167622307,0.4856845483874497,0.6148383668590395,0.7098442498113458,0.7051093907866165,0.8476679843879759
CTransPath,UNI2-h,0.6859046080410413,0.7089401658730156,0.6642031843864218,0.706393203710475,0.6557508283876732,0.635638536091749,0.8428604998156702
Prov-GigaPath,KEEP,0.5484625791947445,0.5741310274469348,0.570268600189302,0.6658303942098702,0.6040727807399027,0.5148562068330639,0.7595455475359713
Prov-GigaPath,ResNet50 (ImageNet),0.6231414724574127,0.6249014532872125,0.48372551727595625,0.6020154525961832,0.6031300572624574,0.5612430266320787,0.7900301370120794
Prov-GigaPath,UNI2-h,0.6885651215648861,0.7139991615134245,0.5001103054791696,0.606863383023051,0.6915846663391542,0.6659616078895225,0.8469414158225653
KEEP,ResNet50 (ImageNet),0.40060333441179596,0.4122261671895698,0.3730708715171485,0.5223347329958206,0.5243803166604448,0.380735229007244,0.6391288044942701
KEEP,UNI2-h,0.7834491312943337,0.8024562361626953,0.619150403918732,0.6856804424915031,0.646358183395186,0.7438794064476624,0.8978443284863629
ResNet50 (ImageNet),UNI2-h,0.4452226480001726,0.46588644758389053,0.4938682492317522,0.5807404894333416,0.526793398798913,0.4098615911354185,0.6823345501047614
