,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,1.0,0.8435500661472614,0.7918499748191827,0.8476679843879759,0.8428604998156702
Prov-GigaPath,0.8435500661472614,1.0,0.7595455475359713,0.7900301370120794,0.8469414158225653
KEEP,0.7918499748191827,0.7595455475359713,1.0,0.6391288044942701,0.8978443284863629
ResNet50 (ImageNet),0.8476679843879759,0.7900301370120794,0.6391288044942701,1.0,0.6823345501047614
UNI2-h,0.8428604998156702,0.8469414158225653,0.8978443284863629,0.6823345501047614,1.0
