,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,1.0,0.7054431968350816,0.6265238189517317,0.7134155167622307,0.7089401658730156
Prov-GigaPath,0.7054431968350816,1.0,0.5741310274469348,0.6249014532872125,0.7139991615134245
KEEP,0.6265238189517317,0.5741310274469348,1.0,0.4122261671895698,0.8024562361626953
ResNet50 (ImageNet),0.7134155167622307,0.6249014532872125,0.4122261671895698,1.0,0.46588644758389053
UNI2-h,0.7089401658730156,0.7139991615134245,0.8024562361626953,0.46588644758389053,1.0
