,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9642799528310632,0.9676841857539248,0.9718925348991125
hoptimus0,0.9642799528310632,1.0,0.968860086126609,0.9718475592471495
virchow,0.9676841857539248,0.968860086126609,1.0,0.9776592399170436
virchow2,0.9718925348991125,0.9718475592471495,0.9776592399170436,1.0
