query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.9805,0.9985,0.9995,0.9885375000000001,1.0,2000.0
hoptimus0,gpfm,0.983,0.9985,0.999,0.9895033424908425,1.0,2000.0
gpfm,virchow,0.979,0.998,0.9995,0.9874883116883116,1.0,2000.0
virchow,gpfm,0.988,0.9995,1.0,0.9932714285714286,1.0,2000.0
gpfm,virchow2,0.987,0.9995,1.0,0.9927583333333334,1.0,2000.0
virchow2,gpfm,0.9895,0.999,1.0,0.9942083333333332,1.0,2000.0
hoptimus0,virchow,0.985,0.9985,1.0,0.9911130952380952,1.0,2000.0
virchow,hoptimus0,0.988,0.9995,1.0,0.9932041666666667,1.0,2000.0
hoptimus0,virchow2,0.988,1.0,1.0,0.993375,1.0,2000.0
virchow2,hoptimus0,0.9885,0.9995,1.0,0.9937916666666667,1.0,2000.0
virchow,virchow2,0.9935,1.0,1.0,0.9965416666666668,1.0,2000.0
virchow2,virchow,0.994,1.0,1.0,0.9967666666666667,1.0,2000.0
