,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9351493271097988,0.9399415216358384,0.9426155232913307
hoptimus0,0.9351493271097988,1.0,0.9461229806448413,0.946513050488041
virchow,0.9399415216358384,0.9461229806448413,1.0,0.9563928336424405
virchow2,0.9426155232913307,0.946513050488041,0.9563928336424405,1.0
