,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.7021927431971363,0.4631250562066974
H-optimus-0,0.7021927431971363,1.0,0.4538973529720484
Virchow2,0.4631250562066974,0.4538973529720484,1.0
