,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.6395536821369495,0.43145700106012647
H-optimus-0,0.6395536821369495,1.0,0.4475717291321699
Virchow2,0.43145700106012647,0.4475717291321699,1.0
