condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.7413122406639004,0.8644688644688645,0.5519627411842981,0.5438278008298756,273,202.7
single,conch_v1,transmil,512,0.7376815352697096,0.8681318681318682,0.6174089068825911,0.600103734439834,273,76.6
single,conch_v15,abmil,768,0.8115923236514523,0.8974358974358975,0.6539297356030425,0.616701244813278,273,30.1
single,conch_v15,transmil,768,0.7699688796680498,0.8864468864468864,0.571992110453649,0.5562759336099585,273,115.5
concat,all,abmil,1280,0.7494813278008299,0.8974358974358975,0.5836601307189542,0.5625,273,171.0
concat,all,transmil,1280,0.8265041493775933,0.8974358974358975,0.5836601307189542,0.5625,273,128.6
shared,all,abmil,64,0.7212136929460581,0.8827838827838828,0.4688715953307393,0.5,273,267.9
shared,all,transmil,64,0.7432572614107884,0.8717948717948718,0.5761809713905522,0.5615274896265561,273,276.8
