group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
tcga_5x_256,pwcca,architecture (backbone),0.0364550521837238,3,7,0.6581446464705647,0.6216895942868409
tcga_5x_256,pwcca,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,procrustes,objective,0.056788888976786134,3,7,0.6813792576219871,0.624590368645201
tcga_5x_256,procrustes,architecture (backbone),0.004352967327144408,3,7,0.6446741124672379,0.6403211451400935
tcga_5x_256,procrustes,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,cosine_rsa,objective,0.052676327701786874,3,7,0.6849598092598748,0.6322834815580879
tcga_5x_256,cosine_rsa,architecture (backbone),-0.01217094775534533,3,7,0.6395667164398823,0.6517376641952276
tcga_5x_256,cosine_rsa,architecture (exact),nan,0,10,nan,nan
tcga_5x_256,distance_correlation,objective,0.029087282315786278,3,7,0.8617132773571522,0.8326259950413659
tcga_5x_256,distance_correlation,architecture (backbone),0.003047888334296034,3,7,0.8434857015701089,0.8404378132358129
tcga_5x_256,distance_correlation,architecture (exact),nan,0,10,nan,nan
tcga_5x_512,linear_cka,objective,nan,1,0,nan,nan
tcga_5x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,kernel_cka,objective,nan,1,0,nan,nan
tcga_5x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,svcca,objective,nan,1,0,nan,nan
tcga_5x_512,svcca,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,svcca,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,pwcca,objective,nan,1,0,nan,nan
tcga_5x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,pwcca,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,procrustes,objective,nan,1,0,nan,nan
tcga_5x_512,procrustes,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,procrustes,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,cosine_rsa,objective,nan,1,0,nan,nan
tcga_5x_512,cosine_rsa,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,cosine_rsa,architecture (exact),nan,0,1,nan,nan
tcga_5x_512,distance_correlation,objective,nan,1,0,nan,nan
tcga_5x_512,distance_correlation,architecture (backbone),nan,1,0,nan,nan
tcga_5x_512,distance_correlation,architecture (exact),nan,0,1,nan,nan
