group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
cptac_20x_224,linear_cka,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,linear_cka,architecture (exact),-0.2161839656600969,1,5,0.317600231656227,0.5337841973163239
cptac_20x_224,kernel_cka,objective,nan,6,0,nan,nan
cptac_20x_224,kernel_cka,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,kernel_cka,architecture (exact),-0.18795336901022142,1,5,0.36893353777599613,0.5568869067862176
cptac_20x_224,svcca,objective,nan,6,0,nan,nan
cptac_20x_224,svcca,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,svcca,architecture (exact),-0.017121436930345957,1,5,0.5523848303365656,0.5695062672669116
cptac_20x_224,pwcca,objective,nan,6,0,nan,nan
cptac_20x_224,pwcca,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,pwcca,architecture (exact),-0.05542878469765189,1,5,0.733070499706828,0.7884992844044799
cptac_20x_224,procrustes,objective,nan,6,0,nan,nan
cptac_20x_224,procrustes,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,procrustes,architecture (exact),-0.02174663766986884,1,5,0.6658128101429713,0.6875594478128402
cptac_20x_224,cosine_rsa,objective,nan,6,0,nan,nan
cptac_20x_224,cosine_rsa,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,cosine_rsa,architecture (exact),-0.1847518065224923,1,5,0.3309336347620461,0.5156854412845384
cptac_20x_224,distance_correlation,objective,nan,6,0,nan,nan
cptac_20x_224,distance_correlation,architecture (backbone),nan,6,0,nan,nan
cptac_20x_224,distance_correlation,architecture (exact),-0.12972020356160274,1,5,0.6138458090393488,0.7435660126009516
cptac_20x_256,linear_cka,objective,0.19227001133631005,3,7,0.6821675559607446,0.4898975446244346
cptac_20x_256,linear_cka,architecture (backbone),0.17997793399909018,3,7,0.6735631018246907,0.4935851678256005
cptac_20x_256,linear_cka,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,kernel_cka,objective,0.17888059365510334,3,7,0.699910344217615,0.5210297505625117
cptac_20x_256,kernel_cka,architecture (backbone),0.15597169469211236,3,7,0.6838741149435213,0.527902420251409
cptac_20x_256,kernel_cka,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,svcca,objective,0.08237297120861242,3,7,0.5671946835809552,0.48482171237234273
cptac_20x_256,svcca,architecture (backbone),0.0705583488557564,3,7,0.5589244479339559,0.4883660990781995
cptac_20x_256,svcca,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,pwcca,objective,0.05538864653492981,3,7,0.6465138916502476,0.5911252451153178
cptac_20x_256,pwcca,architecture (backbone),0.04707939465727473,3,7,0.6406974153358891,0.5936180206786144
cptac_20x_256,pwcca,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,procrustes,objective,0.06310821431808955,3,7,0.6222348314341969,0.5591266171161073
cptac_20x_256,procrustes,architecture (backbone),0.04177752700523718,3,7,0.6073033503152002,0.565525823309963
cptac_20x_256,procrustes,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,cosine_rsa,objective,0.16216158011235132,3,7,0.6257992858125304,0.4636377057001791
cptac_20x_256,cosine_rsa,architecture (backbone),0.14222931878640327,3,7,0.6118467028843667,0.46961738409796344
cptac_20x_256,cosine_rsa,architecture (exact),nan,0,10,nan,nan
cptac_20x_256,distance_correlation,objective,0.1198209803530732,3,7,0.835202951769764,0.7153819714166908
cptac_20x_256,distance_correlation,architecture (backbone),0.10682179513422518,3,7,0.8261035221165702,0.719281726982345
cptac_20x_256,distance_correlation,architecture (exact),nan,0,10,nan,nan
cptac_20x_512,linear_cka,objective,nan,1,0,nan,nan
cptac_20x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,kernel_cka,objective,nan,1,0,nan,nan
cptac_20x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,svcca,objective,nan,1,0,nan,nan
cptac_20x_512,svcca,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,svcca,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,pwcca,objective,nan,1,0,nan,nan
cptac_20x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,pwcca,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,procrustes,objective,nan,1,0,nan,nan
cptac_20x_512,procrustes,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,procrustes,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,cosine_rsa,objective,nan,1,0,nan,nan
cptac_20x_512,cosine_rsa,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,cosine_rsa,architecture (exact),nan,0,1,nan,nan
cptac_20x_512,distance_correlation,objective,nan,1,0,nan,nan
cptac_20x_512,distance_correlation,architecture (backbone),nan,1,0,nan,nan
cptac_20x_512,distance_correlation,architecture (exact),nan,0,1,nan,nan
cptac_5x_224,linear_cka,objective,nan,3,0,nan,nan
cptac_5x_224,linear_cka,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,linear_cka,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,kernel_cka,objective,nan,3,0,nan,nan
cptac_5x_224,kernel_cka,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,kernel_cka,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,svcca,objective,nan,3,0,nan,nan
cptac_5x_224,svcca,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,svcca,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,pwcca,objective,nan,3,0,nan,nan
cptac_5x_224,pwcca,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,pwcca,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,procrustes,objective,nan,3,0,nan,nan
cptac_5x_224,procrustes,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,procrustes,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,cosine_rsa,objective,nan,3,0,nan,nan
cptac_5x_224,cosine_rsa,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,cosine_rsa,architecture (exact),nan,0,3,nan,nan
cptac_5x_224,distance_correlation,objective,nan,3,0,nan,nan
cptac_5x_224,distance_correlation,architecture (backbone),nan,3,0,nan,nan
cptac_5x_224,distance_correlation,architecture (exact),nan,0,3,nan,nan
cptac_5x_256,linear_cka,objective,0.0982346294258517,3,7,0.6781033089969708,0.5798686795711191
cptac_5x_256,linear_cka,architecture (backbone),0.09164744136063818,3,7,0.6734922773513214,0.5818448359906833
cptac_5x_256,linear_cka,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,kernel_cka,objective,0.10666931749513586,3,7,0.7094608414071738,0.6027915239120379
cptac_5x_256,kernel_cka,architecture (backbone),0.0886711750672946,3,7,0.6968621417076849,0.6081909666403903
cptac_5x_256,kernel_cka,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,svcca,objective,0.10980530040615144,3,7,0.6064363703781718,0.49663106997202033
cptac_5x_256,svcca,architecture (backbone),0.04800539490743172,3,7,0.5631764365290679,0.5151710416216362
cptac_5x_256,svcca,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,pwcca,objective,0.07270521407264918,3,7,0.6780384441097359,0.6053332300370867
cptac_5x_256,pwcca,architecture (backbone),0.03663801759418095,3,7,0.652791406574808,0.6161533889806271
cptac_5x_256,pwcca,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,procrustes,objective,0.07242282757637186,3,7,0.680641701045107,0.6082188734687352
cptac_5x_256,procrustes,architecture (backbone),0.024846888213953533,3,7,0.6473385434914142,0.6224916552774606
cptac_5x_256,procrustes,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,cosine_rsa,objective,0.10174599005478424,3,7,0.6548491780124152,0.5531031879576309
cptac_5x_256,cosine_rsa,architecture (backbone),0.08276965059430963,3,7,0.641565740390083,0.5587960897957733
cptac_5x_256,cosine_rsa,architecture (exact),nan,0,10,nan,nan
cptac_5x_256,distance_correlation,objective,0.07182189961793661,3,7,0.8444506605951657,0.7726287609772291
cptac_5x_256,distance_correlation,architecture (backbone),0.0580025234557473,3,7,0.8347770972816332,0.7767745738258859
cptac_5x_256,distance_correlation,architecture (exact),nan,0,10,nan,nan
cptac_5x_512,linear_cka,objective,nan,1,0,nan,nan
cptac_5x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,kernel_cka,objective,nan,1,0,nan,nan
cptac_5x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,svcca,objective,nan,1,0,nan,nan
cptac_5x_512,svcca,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,svcca,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,pwcca,objective,nan,1,0,nan,nan
cptac_5x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,pwcca,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,procrustes,objective,nan,1,0,nan,nan
cptac_5x_512,procrustes,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,procrustes,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,cosine_rsa,objective,nan,1,0,nan,nan
cptac_5x_512,cosine_rsa,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,cosine_rsa,architecture (exact),nan,0,1,nan,nan
cptac_5x_512,distance_correlation,objective,nan,1,0,nan,nan
cptac_5x_512,distance_correlation,architecture (backbone),nan,1,0,nan,nan
cptac_5x_512,distance_correlation,architecture (exact),nan,0,1,nan,nan
tcga_10x_224,linear_cka,objective,nan,3,0,nan,nan
tcga_10x_224,linear_cka,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,linear_cka,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,kernel_cka,objective,nan,3,0,nan,nan
tcga_10x_224,kernel_cka,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,kernel_cka,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,svcca,objective,nan,3,0,nan,nan
tcga_10x_224,svcca,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,svcca,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,pwcca,objective,nan,3,0,nan,nan
tcga_10x_224,pwcca,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,pwcca,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,procrustes,objective,nan,3,0,nan,nan
tcga_10x_224,procrustes,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,procrustes,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,cosine_rsa,objective,nan,3,0,nan,nan
tcga_10x_224,cosine_rsa,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,cosine_rsa,architecture (exact),nan,0,3,nan,nan
tcga_10x_224,distance_correlation,objective,nan,3,0,nan,nan
tcga_10x_224,distance_correlation,architecture (backbone),nan,3,0,nan,nan
tcga_10x_224,distance_correlation,architecture (exact),nan,0,3,nan,nan
tcga_10x_256,linear_cka,objective,0.05434945613133868,4,11,0.6940152396991264,0.6396657835677877
