component,eigenvalue,view_agreement
0,5.963085402646389,0.9938475671077315
1,5.934348674175238,0.9890581123625397
2,5.9056222064905555,0.9842703677484259
3,5.874537074486857,0.9790895124144762
4,5.859816707095609,0.9766361178492682
5,5.81625057347683,0.9693750955794717
6,5.799731681515381,0.9666219469192302
7,5.781629152024754,0.9636048586707924
8,5.751602869042521,0.9586004781737535
9,5.734562568524752,0.9557604280874586
10,5.712613700386712,0.9521022833977854
11,5.6977852731221486,0.9496308788536915
12,5.670303664350723,0.9450506107251205
13,5.646683714524979,0.9411139524208298
14,5.617627873619353,0.9362713122698921
15,5.603503074477732,0.933917179079622
16,5.56720471920707,0.9278674532011784
17,5.525979637686564,0.920996606281094
18,5.515537562047758,0.9192562603412929
19,5.502478492760884,0.9170797487934806
20,5.489631553670985,0.9149385922784975
21,5.462229480964633,0.9103715801607722
22,5.440420566278436,0.906736761046406
23,5.429574682354178,0.9049291137256964
24,5.393859459656734,0.8989765766094556
25,5.375080686353421,0.8958467810589035
26,5.339031722333863,0.8898386203889772
27,5.318237051098453,0.8863728418497422
28,5.303372504515074,0.883895417419179
29,5.301242596949958,0.8835404328249931
30,5.2862456824861255,0.8810409470810209
31,5.263702064288327,0.8772836773813878
32,5.24973536317624,0.8749558938627066
33,5.226753208748118,0.871125534791353
34,5.222962084170828,0.8704936806951381
35,5.197097007941681,0.8661828346569469
36,5.166661365869018,0.8611102276448364
37,5.155112922757371,0.8591854871262284
38,5.139769513633113,0.8566282522721855
39,5.117738628232898,0.8529564380388163
40,5.108589346985396,0.8514315578308994
41,5.08384520706828,0.84730753451138
42,5.063186475249936,0.843864412541656
43,5.037231831891883,0.8395386386486471
44,5.010063527345729,0.8350105878909547
45,4.993243112032982,0.8322071853388303
46,4.983287111262341,0.8305478518770569
47,4.95918513165908,0.8265308552765133
48,4.927553208701144,0.8212588681168573
49,4.924722537574406,0.8207870895957344
50,4.8930390610067365,0.8155065101677894
51,4.889134257144768,0.814855709524128
52,4.876041780962557,0.8126736301604262
53,4.854084662350698,0.8090141103917831
54,4.840054913446255,0.8066758189077091
55,4.815159441555275,0.8025265735925459
56,4.805988766289335,0.8009981277148892
57,4.79978271227475,0.7999637853791249
58,4.781134555893483,0.7968557593155805
59,4.775890376021347,0.7959817293368912
60,4.7551304308258535,0.7925217384709756
61,4.739129949329233,0.7898549915548722
62,4.7301366004282475,0.7883561000713746
63,4.71742318073989,0.7862371967899816
