query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7204,0.5164,0.5052,0.5202,0.488,0.5174
ctranspath,0.538,0.7578,0.4952,0.515,0.5034,0.492
gigapath,0.5124,0.5076,0.8108,0.524,0.4978,0.5208
keep,0.5304,0.5188,0.5094,0.757,0.4852,0.5214
resnet50,0.5064,0.5092,0.506,0.4912,0.6798,0.4782
uni_v2,0.5044,0.4992,0.5154,0.5144,0.4766,0.8026
