query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7034,0.4904,0.4734,0.468,0.5068,0.4788
ctranspath,0.4872,0.7288,0.5052,0.4922,0.4866,0.4916
gigapath,0.4872,0.5032,0.7518,0.4934,0.5094,0.497
keep,0.4744,0.5006,0.5138,0.7424,0.4866,0.5032
resnet50,0.496,0.5022,0.4856,0.4854,0.5812,0.5074
uni_v2,0.5036,0.4916,0.501,0.5056,0.4942,0.766
