query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7828,0.7558,0.7854,0.7678,0.7346,0.7874
ctranspath,0.76,0.7812,0.779,0.7752,0.7418,0.7826
gigapath,0.7728,0.7848,0.8016,0.7884,0.7428,0.7964
keep,0.769,0.7806,0.7952,0.8032,0.7432,0.806
resnet50,0.7278,0.7406,0.7532,0.7378,0.7426,0.7464
uni_v2,0.7856,0.7924,0.8086,0.8038,0.7526,0.8162
