query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7644,0.6828,0.726,0.6978,0.6442,0.731
ctranspath,0.6986,0.7576,0.7402,0.7048,0.6972,0.746
gigapath,0.7226,0.7422,0.7926,0.739,0.6906,0.7726
keep,0.6984,0.708,0.7374,0.7786,0.6568,0.7496
resnet50,0.6392,0.6738,0.679,0.6394,0.7182,0.6878
uni_v2,0.7228,0.7376,0.7728,0.75,0.6954,0.8088
