query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7204,0.6238,0.636,0.647,0.5718,0.6678
ctranspath,0.6424,0.7588,0.7046,0.6544,0.6486,0.7142
gigapath,0.658,0.7208,0.8076,0.6922,0.6364,0.7438
keep,0.6518,0.644,0.6506,0.7554,0.5894,0.681
resnet50,0.5754,0.6084,0.5854,0.5696,0.6784,0.5912
uni_v2,0.6808,0.7016,0.732,0.6822,0.6264,0.7996
