query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7704,0.7246,0.7378,0.7204,0.6664,0.7472
ctranspath,0.7176,0.7692,0.7474,0.7204,0.7002,0.7428
gigapath,0.7378,0.747,0.8076,0.753,0.695,0.7812
keep,0.7342,0.7358,0.7584,0.7882,0.6704,0.7572
resnet50,0.6536,0.6888,0.678,0.6538,0.7262,0.6728
uni_v2,0.7474,0.752,0.7834,0.7522,0.7034,0.8144
