condition,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
gcca,0.9266,0.9901,0.9963,0.9553745631029497,0.9553745631029497,1.0,0.966362576203692,5000.0,5000.0
joint_pca,0.8653,0.9694,0.9856,0.911641471734749,0.911641471734749,1.0,0.9326286822133025,5000.0,5000.0
mcca,0.7713,0.9382,0.9687,0.8464273833116565,0.8464273833116565,1.0,0.8823888744630591,5000.0,5000.0
autoencoder,0.7463,0.9223,0.9588,0.8254603365144461,0.8254603365144461,1.0,0.8656337743155587,5000.0,5000.0
procrustes,0.5430999999999999,0.7966,0.8648,0.6571038732919315,0.6571038732919315,1.0,0.7313723713403869,5000.0,5000.0
unaligned_pca,0.0042,0.0177,0.0314,0.016441585484465206,0.016441585484465206,442.0,0.13414609329589192,5000.0,5000.0
unaligned_truncate,0.0002,0.0007,0.0013,0.0015647461796986805,0.0015647461796986805,2533.75,0.09405004199817493,5000.0,5000.0
