query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
conch_v1,ctranspath,0.447,0.734,0.831,0.5760279658968104,2.0,2000.0
ctranspath,conch_v1,0.5215,0.8015,0.8795,0.6485969538414832,1.0,2000.0
conch_v1,gigapath,0.41,0.6895,0.782,0.5381087974672686,2.0,2000.0
gigapath,conch_v1,0.4735,0.7545,0.8385,0.602348224242559,2.0,2000.0
conch_v1,keep,0.525,0.7575,0.841,0.6342914382209415,1.0,2000.0
keep,conch_v1,0.5525,0.8035,0.875,0.6635231905164164,1.0,2000.0
conch_v1,resnet50,0.188,0.4375,0.5675,0.3102329460273885,8.0,2000.0
resnet50,conch_v1,0.141,0.3575,0.474,0.2499277752534152,12.0,2000.0
conch_v1,uni_v2,0.4755,0.761,0.841,0.6026953859170036,2.0,2000.0
uni_v2,conch_v1,0.4965,0.7725,0.8545,0.6209505504021227,2.0,2000.0
ctranspath,gigapath,0.6615,0.849,0.896,0.7444174651707764,1.0,2000.0
gigapath,ctranspath,0.6975,0.8865,0.929,0.7830127486585117,1.0,2000.0
ctranspath,keep,0.4285,0.719,0.8105,0.5605881843791767,2.0,2000.0
keep,ctranspath,0.378,0.686,0.792,0.5169780892853135,2.0,2000.0
ctranspath,resnet50,0.6865,0.8905,0.93,0.7747337893292224,1.0,2000.0
resnet50,ctranspath,0.6155,0.8145,0.8735,0.7035862907933632,1.0,2000.0
ctranspath,uni_v2,0.645,0.8695,0.923,0.7447017340505813,1.0,2000.0
uni_v2,ctranspath,0.6025,0.8565,0.9255,0.7161662187336908,1.0,2000.0
gigapath,keep,0.4385,0.707,0.804,0.5626076176461497,2.0,2000.0
keep,gigapath,0.3705,0.648,0.7695,0.4998735269799075,3.0,2000.0
gigapath,resnet50,0.348,0.6585,0.7785,0.4891204844266806,3.0,2000.0
resnet50,gigapath,0.2805,0.537,0.6545,0.4037675432068702,4.0,2000.0
gigapath,uni_v2,0.7035,0.8955,0.934,0.7879670477071483,1.0,2000.0
uni_v2,gigapath,0.663,0.864,0.924,0.7550357792885458,1.0,2000.0
keep,resnet50,0.1345,0.3475,0.4815,0.24608798690206016,11.5,2000.0
resnet50,keep,0.13,0.308,0.427,0.22519837561569842,16.0,2000.0
keep,uni_v2,0.5015,0.801,0.885,0.6320597878482682,1.0,2000.0
uni_v2,keep,0.505,0.7845,0.8685,0.6304195597406616,1.0,2000.0
resnet50,uni_v2,0.2155,0.456,0.577,0.33391122440000043,7.0,2000.0
uni_v2,resnet50,0.2565,0.548,0.684,0.39335737044898705,4.0,2000.0
