,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.6786897075255488,0.6360304432812974,0.7127290941344021,0.6064019817796087,0.6648272632409269
ctranspath,0.6786897075255488,1.0,0.7288792129670933,0.6467536785088005,0.7390375747091372,0.7138164980901334
gigapath,0.6360304432812974,0.7288792129670933,1.0,0.6255911983112049,0.6117396998463278,0.7240025077325312
keep,0.7127290941344021,0.6467536785088005,0.6255911983112049,1.0,0.5476047002668448,0.6808132891218982
resnet50,0.6064019817796087,0.7390375747091372,0.6117396998463278,0.5476047002668448,1.0,0.5733520563441661
uni_v2,0.6648272632409269,0.7138164980901334,0.7240025077325312,0.6808132891218982,0.5733520563441661,1.0
