,reconstruction_r2,reconstruction_cosine,alignment_error,paired_cosine,shared_cka,recall@1,recall@10,mrr,neighborhood_preservation,effective_rank,latent_dim
joint_pca,0.5615075775619531,0.7852733729734238,0.03609475120127669,0.946774217789677,0.9015669419325597,0.9753333333333333,0.9994166666666665,0.985314016076516,0.594,57.319361607245696,64.0
gcca,0.48118502259956336,0.7468791956451089,0.026635997378572373,0.9615840285652623,0.9263498512252197,0.9991666666666666,1.0,0.9995277777777778,0.49186666666666673,63.90773714090764,64.0
mcca,0.5211503674182143,0.7682209528276208,0.10777081309704074,0.8526002416515,0.7402736263293268,0.9726666666666667,0.9981666666666666,0.9828530456920531,0.5483333333333333,63.919535764160095,64.0
procrustes,0.5959217481356549,0.8032349464689309,0.23665108194024143,0.7171822041286976,0.5249045870314349,0.7260833333333334,0.9470000000000001,0.8063485761488645,0.7528333333333332,57.28919506710136,64.0
autoencoder,0.5811408169414373,0.7958176987927142,0.04637957949000391,0.9307667764349511,0.96022128668374,0.9868333333333333,0.99975,0.9923204560485811,0.5897833333333334,54.56754478967088,64.0
