layer_a,depth_a,best_layer_b,depth_b,best_similarity,diagonal_similarity,depth_offset
blocks.0,0.0,layers.3.blocks.0,0.2727272727272727,0.33421516215303165,0.32054269018110015,0.2727272727272727
blocks.1,0.043478260869565216,layers.3.blocks.0,0.2727272727272727,0.32966160508178494,0.28774245691360034,0.2292490118577075
blocks.2,0.08695652173913043,layers.2.blocks.0,0.18181818181818182,0.3924663562485033,0.3452348269980889,0.09486166007905139
blocks.3,0.13043478260869565,layers.2.blocks.0,0.18181818181818182,0.47463275579012654,0.4168515032638657,0.051383399209486175
blocks.4,0.17391304347826086,layers.2.blocks.0,0.18181818181818182,0.49980792252385436,0.49980792252385436,0.007905138339920958
blocks.5,0.21739130434782608,layers.2.blocks.0,0.18181818181818182,0.4997265335063101,0.4997265335063101,-0.03557312252964426
blocks.6,0.2608695652173913,layers.2.blocks.0,0.18181818181818182,0.4875275773024206,0.44240554743319366,-0.07905138339920947
blocks.7,0.30434782608695654,layers.2.blocks.0,0.18181818181818182,0.4869599734279433,0.44507828532300436,-0.12252964426877472
blocks.8,0.34782608695652173,layers.2.blocks.0,0.18181818181818182,0.4749692603892026,0.2661397078390898,-0.1660079051383399
blocks.9,0.391304347826087,layers.2.blocks.0,0.18181818181818182,0.4607610244370878,0.24414609993365954,-0.20948616600790515
blocks.10,0.43478260869565216,layers.2.blocks.0,0.18181818181818182,0.4456446426238856,0.363443037396981,-0.25296442687747034
blocks.11,0.4782608695652174,layers.2.blocks.0,0.18181818181818182,0.4374272571198125,0.3482947132408174,-0.2964426877470356
blocks.12,0.5217391304347826,layers.2.blocks.0,0.18181818181818182,0.4354073174380489,0.37955811360523495,-0.33992094861660077
blocks.13,0.5652173913043478,layers.2.blocks.0,0.18181818181818182,0.42986085143439745,0.37573807099019096,-0.38339920948616596
blocks.14,0.6086956521739131,layers.2.blocks.0,0.18181818181818182,0.42944785211983877,0.24586785018684834,-0.42687747035573126
blocks.15,0.6521739130434783,layers.2.blocks.0,0.18181818181818182,0.43054357543116806,0.2511653383870873,-0.47035573122529645
blocks.16,0.6956521739130435,layers.2.blocks.0,0.18181818181818182,0.43531420723424813,0.37008956243636976,-0.5138339920948616
blocks.17,0.7391304347826086,layers.2.blocks.0,0.18181818181818182,0.44356236299692325,0.37723296137650125,-0.5573122529644268
blocks.18,0.782608695652174,layers.2.blocks.0,0.18181818181818182,0.4368462818212262,0.3339275040088264,-0.6007905138339922
blocks.19,0.8260869565217391,layers.2.blocks.0,0.18181818181818182,0.4331926470723056,0.33055471207843656,-0.6442687747035574
blocks.20,0.8695652173913043,layers.2.blocks.0,0.18181818181818182,0.42914718100675564,0.3153245906674363,-0.6877470355731226
blocks.21,0.9130434782608695,layers.2.blocks.0,0.18181818181818182,0.42075737968115173,0.30822940970591906,-0.7312252964426877
blocks.22,0.9565217391304348,layers.2.blocks.0,0.18181818181818182,0.40973847040436545,0.25327206306241384,-0.7747035573122529
blocks.23,1.0,layers.3.blocks.0,0.2727272727272727,0.4130892689580086,0.2644377802655961,-0.7272727272727273
