,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.8800826620331558,0.8152887689723815,0.8478032263724201,0.8797102903686038
gigapath,0.8800826620331558,1.0,0.8310183963814399,0.8339646159775111,0.9078888059797595
keep,0.8152887689723815,0.8310183963814399,1.0,0.7515126656864706,0.8475259431110593
resnet50,0.8478032263724201,0.8339646159775111,0.7515126656864706,1.0,0.8227960374974634
uni_v2,0.8797102903686038,0.9078888059797595,0.8475259431110593,0.8227960374974634,1.0
