component,eigenvalue,view_agreement
0,4.967624703220106,0.9935249406440212
1,4.945678957183097,0.9891357914366194
2,4.919034226891314,0.9838068453782627
3,4.9008459018054955,0.9801691803610991
4,4.879344631676992,0.9758689263353985
5,4.8558319585162835,0.9711663917032567
6,4.8479961117646475,0.9695992223529295
7,4.826376864022996,0.9652753728045992
8,4.803253814687035,0.960650762937407
9,4.79154032234097,0.958308064468194
10,4.753363020942093,0.9506726041884186
11,4.742700767345213,0.9485401534690426
12,4.723340317133728,0.9446680634267455
13,4.715360235274803,0.9430720470549605
14,4.676226499789885,0.935245299957977
15,4.665592244688731,0.9331184489377462
16,4.654434841421867,0.9308869682843733
17,4.640578369805508,0.9281156739611015
18,4.618003786727771,0.9236007573455541
19,4.598975599535865,0.919795119907173
20,4.582450934348737,0.9164901868697474
21,4.573581612629187,0.9147163225258375
22,4.562549090201361,0.9125098180402722
23,4.554034293667109,0.9108068587334218
24,4.542626085234592,0.9085252170469185
25,4.536338336438847,0.9072676672877694
26,4.517585216580788,0.9035170433161577
27,4.497682545610592,0.8995365091221185
28,4.489118550116014,0.8978237100232027
29,4.462514843745478,0.8925029687490955
30,4.455110090494664,0.8910220180989328
31,4.451270601152804,0.8902541202305608
32,4.414407915681584,0.8828815831363167
33,4.40074307310117,0.880148614620234
34,4.377842128220059,0.8755684256440117
35,4.3657885066921285,0.8731577013384257
36,4.335985662323518,0.8671971324647035
37,4.334103871021299,0.8668207742042598
38,4.329348605490245,0.865869721098049
39,4.308235263498136,0.8616470526996272
40,4.2897694661243015,0.8579538932248603
41,4.276660580130753,0.8553321160261506
42,4.267036408094861,0.8534072816189722
43,4.257626040775815,0.851525208155163
44,4.244496631294152,0.8488993262588304
45,4.2211458394335555,0.8442291678867111
46,4.213622716061394,0.8427245432122789
47,4.1979540990941,0.83959081981882
48,4.1876469132478364,0.8375293826495673
49,4.168248370999627,0.8336496741999253
50,4.148026034866158,0.8296052069732316
51,4.132567856971529,0.8265135713943058
52,4.121976557205453,0.8243953114410907
53,4.102108205922186,0.8204216411844373
54,4.092781057401387,0.8185562114802775
55,4.08569739588965,0.81713947917793
56,4.068721008247724,0.8137442016495449
57,4.059883990175982,0.8119767980351964
58,4.042666338747214,0.8085332677494428
59,4.03739740879224,0.8074794817584481
60,4.023502475079838,0.8047004950159676
61,4.011624540639566,0.8023249081279132
62,4.001870758417411,0.8003741516834821
63,3.9922265027475126,0.7984453005495025
