component,eigenvalue,view_agreement
0,4.938302373026572,0.9845755932566429
1,4.871894075116234,0.9679735187790586
2,4.824351786908663,0.9560879467271657
3,4.783582642584251,0.9458956606460627
4,4.715659059762515,0.9289147649406289
5,4.6284455806094735,0.9071113951523684
6,4.5978892172656645,0.8994723043164161
7,4.569640606460773,0.8924101516151932
8,4.505842093881953,0.8764605234704883
9,4.4674709302500935,0.8668677325625234
10,4.444491264206248,0.861122816051562
11,4.383445253067923,0.8458613132669808
12,4.359056215635283,0.8397640539088207
13,4.330221301845672,0.832555325461418
14,4.27844550850128,0.81961137712532
15,4.26448210680318,0.8161205267007949
16,4.250892666124625,0.8127231665311563
17,4.206647736267154,0.8016619340667885
18,4.137780064429692,0.784445016107423
19,4.125872090322568,0.7814680225806421
20,4.055232075676421,0.7638080189191052
21,4.011949330197044,0.7529873325492611
22,4.002645245667158,0.7506613114167895
23,3.912687669295827,0.7281719173239567
24,3.903707449967545,0.7259268624918862
25,3.8822531391366515,0.7205632847841629
26,3.8649427231082893,0.7162356807770723
27,3.843614475905055,0.7109036189762638
28,3.7792616589393218,0.6948154147348304
29,3.7646395572134415,0.6911598893033604
30,3.713339145036475,0.6783347862591188
31,3.698759569304783,0.6746898923261957
32,3.6503250638800404,0.6625812659700101
33,3.615706493821702,0.6539266234554255
34,3.605528268171369,0.6513820670428423
35,3.566785105364492,0.641696276341123
36,3.5567993599125276,0.6391998399781319
37,3.494263779588718,0.6235659448971795
38,3.4459069105912548,0.6114767276478137
39,3.40101033896381,0.6002525847409526
40,3.370264502045993,0.5925661255114982
41,3.3570232964898716,0.5892558241224679
42,3.2920409954842906,0.5730102488710727
43,3.2794045461454573,0.5698511365363643
44,3.2261412020253912,0.5565353005063478
45,3.2126696034659887,0.5531674008664972
46,3.2012935929327377,0.5503233982331844
47,3.171482449167815,0.5428706122919538
48,3.153147860600994,0.5382869651502485
49,3.1169008115434305,0.5292252028858576
50,3.10278174543012,0.52569543635753
51,3.082398483780468,0.520599620945117
52,3.029703773570869,0.5074259433927173
53,2.9981897698203683,0.4995474424550921
54,2.9600191574634116,0.4900047893658529
55,2.9329023894037154,0.48322559735092885
56,2.9248728011803293,0.48121820029508233
57,2.9045786098583255,0.4761446524645814
58,2.8828118668779714,0.47070296671949285
59,2.8651449973699634,0.46628624934249085
60,2.8573252468459494,0.46433131171148734
61,2.8522961037703185,0.4630740259425796
62,2.819467648920214,0.4548669122300535
63,2.812158598776432,0.45303964969410804
