source,target,cosine,r2
conch_v1,ctranspath,0.9073189177348673,0.5842844297904125
conch_v1,gigapath,0.6814014030676737,0.3062949226410018
conch_v1,keep,0.8064992682663941,0.4703413548759995
conch_v1,resnet50,0.9478788294288565,0.505048251857307
conch_v1,uni_v2,0.6431920326977905,0.2885372367252994
ctranspath,conch_v1,0.8752791534314543,0.6183630416419001
ctranspath,gigapath,0.7006143323393075,0.33985521469075175
ctranspath,keep,0.7954306764003082,0.42841125382204925
ctranspath,resnet50,0.9590033783738076,0.6076625066246066
ctranspath,uni_v2,0.6525889609593982,0.2998194365775678
gigapath,conch_v1,0.8722079328024809,0.612971301820671
gigapath,ctranspath,0.9181409871860706,0.6312100710894931
gigapath,keep,0.7980742827360089,0.44202995454069405
gigapath,resnet50,0.9495370921374324,0.5168075077488036
gigapath,uni_v2,0.665914290367914,0.3279676673767381
keep,conch_v1,0.8776308771587267,0.6345757308571406
keep,ctranspath,0.9007941909548386,0.5557402017401502
keep,gigapath,0.6766910282108723,0.2995578577651534
keep,resnet50,0.9428502170924811,0.46141741229904243
keep,uni_v2,0.6453697520554004,0.29444587752403717
resnet50,conch_v1,0.8209960663493315,0.4805733505868556
resnet50,ctranspath,0.9136983601573978,0.6138510555498257
resnet50,gigapath,0.663510474585844,0.27629073268271653
resnet50,keep,0.7426947724038138,0.31558528022582055
resnet50,uni_v2,0.6037438671322797,0.22115163245323188
uni_v2,conch_v1,0.8775342799620754,0.6275056789751823
uni_v2,ctranspath,0.9151487176941264,0.6169597483269008
uni_v2,gigapath,0.708564537129045,0.3593628374191301
uni_v2,keep,0.8118856325872935,0.47684426717496
uni_v2,resnet50,0.946046473347996,0.4838081392456798
