,gpfm,hoptimus0,virchow2
gpfm,1.0,0.9237265968442537,0.9338546192333762
hoptimus0,0.9237265968442537,1.0,0.9347191132272237
virchow2,0.9338546192333762,0.9347191132272237,1.0
