,GPFM,H-optimus-0,Virchow2
GPFM,1.0,0.8114609521287752,0.3784014922706043
H-optimus-0,0.8114609521287752,1.0,0.3429437537053528
Virchow2,0.3784014922706043,0.3429437537053528,1.0
