,GPFM,H-optimus-0,Virchow2
GPFM,0.9999999999999992,0.7514596581487625,0.675017340216066
H-optimus-0,0.7514596581487625,1.0,0.6335918296852487
Virchow2,0.675017340216066,0.6335918296852487,1.0
