model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
GPFM,H-optimus-0,0.8114609521287752,0.8131132243840181,0.5772871617064902,0.7423195779226969,0.7514596581487625,0.7626224578977819,0.9015575070437468
GPFM,Virchow2,0.3784014922706043,0.4350089064922014,0.5994017023090957,0.81843342388974,0.675017340216066,0.3630775173183385,0.6564313439491349
H-optimus-0,Virchow2,0.3429437537053528,0.39048679863193925,0.4911462351301717,0.7515970434739292,0.6335918296852487,0.32474003398359513,0.6220446407309242
