,GPFM,H-optimus-0,Virchow2
GPFM,0.9999999999999998,0.7626224578977819,0.3630775173183385
H-optimus-0,0.7626224578977819,1.0,0.32474003398359513
Virchow2,0.3630775173183385,0.32474003398359513,1.0
