source,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.98637935380549,0.8835621741579613,0.6344084543648825,0.7733894755822035,0.9480207428774714,0.6404113431114711
ctranspath,0.851749329182457,0.9627120354686857,0.6718671859381822,0.7644287018502054,0.9653583757008449,0.6647056206991013
gigapath,0.8679668648364042,0.9157329032443158,0.7745737003201264,0.7892924640333563,0.96161237397426,0.6972312330299509
keep,0.8579846782119016,0.8860363723352375,0.6430680540420711,0.9237537941671304,0.9474610844770529,0.6538101900708454
resnet50,0.8147542621060885,0.9099984261215006,0.6454532681348986,0.7255042424073647,0.987012392640926,0.627624613575271
uni_v2,0.878325202531529,0.9163263073820436,0.7035282361931559,0.8041701347360897,0.9601705589890787,0.7651426164286437
