source,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.9992,0.4104,0.1746,0.2986,0.1608,0.159
ctranspath,0.3644,0.9878,0.2994,0.2624,0.6296,0.2514
gigapath,0.3698,0.6184,0.7312,0.2882,0.3154,0.2752
keep,0.398,0.3874,0.1678,0.9986,0.1272,0.1668
resnet50,0.1448,0.5902,0.132,0.1018,0.9856,0.109
uni_v2,0.4164,0.6026,0.3028,0.3368,0.2804,0.6292
