,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,0.9999999999999997,0.5942074017254189,0.6043783931090472,0.6177943422923566
H-optimus-0,0.5942074017254189,0.9999999999999997,0.5018841201231661,0.5312841551694807
Virchow,0.6043783931090472,0.5018841201231661,0.9999999999999998,0.5521559457588917
Virchow2,0.6177943422923566,0.5312841551694807,0.5521559457588917,0.9999999999999997
