,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,1.0,0.6666895830819881,0.5981748962691453,0.42061301294645986
H-optimus-0,0.6666895830819881,1.0,0.48487580010383324,0.44394152605652043
Virchow,0.5981748962691453,0.48487580010383324,1.0,0.30463220064335955
Virchow2,0.42061301294645986,0.44394152605652043,0.30463220064335955,1.0
