,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,0.9999999999999996,0.7367804334135354,0.829182314212209,0.8371532019256285
H-optimus-0,0.7367804334135354,0.9999999999999996,0.7675657808754275,0.7718146915955992
Virchow,0.829182314212209,0.7675657808754275,0.9999999999999993,0.733070499706828
Virchow2,0.8371532019256285,0.7718146915955992,0.733070499706828,0.9999999999999996
