,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,1.0,0.6656574245074242,0.6326235927547068,0.4807952560810594
H-optimus-0,0.6656574245074242,1.0,0.5159355868402756,0.4894226737476217
Virchow,0.6326235927547068,0.5159355868402756,1.0,0.36893353777599613
Virchow2,0.4807952560810594,0.4894226737476217,0.36893353777599613,1.0
