model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
GPFM,H-optimus-0,0.7099988599485375,0.7278264115741117,0.5897003829834264,0.7198916646867612,0.6678192573679256,0.6037337360801918,0.8517278976825133
GPFM,Virchow,0.49620279106963017,0.5136232768913449,0.6001103177138216,0.8112269597912483,0.6462636744652153,0.4162994892179836,0.7189275545471944
GPFM,Virchow2,0.35389843071742505,0.4017427218449515,0.6039388165968684,0.8210621741051809,0.6457835746916059,0.31207892884605515,0.6317805474850394
H-optimus-0,Virchow,0.523521607484383,0.5353645304300764,0.5191765813210018,0.7595878007361809,0.6349538125782546,0.45328000431043414,0.7331010521708728
H-optimus-0,Virchow2,0.37428805436660934,0.41484570072520954,0.5334894280166799,0.764864870581444,0.6343553779563191,0.32126084970532065,0.641230253522621
Virchow,Virchow2,0.29490527785829507,0.3363637257766036,0.5643741848595938,0.7255280981839197,0.6694364051174326,0.2715244268442827,0.5821030865954961
