,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,1.0,0.7278264115741117,0.5136232768913449,0.4017427218449515
H-optimus-0,0.7278264115741117,1.0,0.5353645304300764,0.41484570072520954
Virchow,0.5136232768913449,0.5353645304300764,1.0,0.3363637257766036
Virchow2,0.4017427218449515,0.41484570072520954,0.3363637257766036,1.0
