,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,0.9999999999999997,0.5897003829834264,0.6001103177138216,0.6039388165968684
H-optimus-0,0.5897003829834264,0.9999999999999996,0.5191765813210018,0.5334894280166799
Virchow,0.6001103177138216,0.5191765813210018,0.9999999999999996,0.5643741848595938
Virchow2,0.6039388165968684,0.5334894280166799,0.5643741848595938,0.9999999999999998
