,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,1.0,0.6678192573679254,0.6462636744652148,0.6457835746916052
H-optimus-0,0.6678192573679254,1.0,0.6349538125782545,0.6343553779563187
Virchow,0.6462636744652148,0.6349538125782545,1.0,0.6694364051174319
Virchow2,0.6457835746916052,0.6343553779563187,0.6694364051174319,1.0
