,GPFM,H-optimus-0,Virchow,Virchow2
GPFM,1.0,0.8517278976825133,0.7189275545471944,0.6317805474850394
H-optimus-0,0.8517278976825133,1.0,0.7331010521708728,0.641230253522621
Virchow,0.7189275545471944,0.7331010521708728,1.0,0.5821030865954961
Virchow2,0.6317805474850394,0.641230253522621,0.5821030865954961,1.0
