model_a,model_b,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
CONCH v1.5,CTransPath,0.6605229077848012,0.7000308171324119,0.610620674797475,0.5535165911147895,0.6128053429242012,0.6886752257464679,0.8395976814133054
CONCH v1.5,Prov-GigaPath,0.6197834618688555,0.6467971495807037,0.71683766937666,0.6452552545683526,0.47812136914603565,0.6147359613231882,0.806603476893644
CONCH v1.5,KEEP,0.7250274106767417,0.7493038972447165,0.6252490990224027,0.5378072239495104,0.606021374335523,0.727959433793329,0.8668416894061253
CONCH v1.5,ResNet50 (ImageNet),0.6689405514272785,0.6904135719424971,0.5583466551409986,0.5359634447051433,0.5832587841330538,0.6808208622254877,0.8311196454278537
CONCH v1.5,UNI2-h,0.528090231415742,0.5577775458976535,0.7365150492549768,0.640806125447436,0.437463082014777,0.5183167508044577,0.7503360902921745
CTransPath,Prov-GigaPath,0.750897969164667,0.7673352666476077,0.6111212667346151,0.6789812217977267,0.622261937823792,0.7306809983404384,0.8779370025207084
CTransPath,KEEP,0.6988692221583986,0.7231048717277068,0.4260011374702565,0.5468238643416028,0.6376840822998049,0.6995940968346264,0.8525580266179126
CTransPath,ResNet50 (ImageNet),0.73456850298862,0.7850511988261473,0.47792683426602883,0.6069390307298435,0.7255808690180853,0.8013205701957117,0.8869236548097053
CTransPath,UNI2-h,0.6490302560509887,0.6651210981656231,0.6290045072026694,0.6721186503206174,0.5704485194319114,0.6052328357306604,0.8178716988369141
Prov-GigaPath,KEEP,0.6627568805131231,0.6800565009863072,0.581521819796238,0.6609065366676352,0.5770809862615277,0.6359749445096197,0.8258541312336097
Prov-GigaPath,ResNet50 (ImageNet),0.6161655419801693,0.6493481690083079,0.48387831898765776,0.588700143914089,0.534991727224211,0.6348357057932065,0.8068559210729994
Prov-GigaPath,UNI2-h,0.7131842530574045,0.7242291262800574,0.5008625170132671,0.5954135171454549,0.6524066918899328,0.6382029671787868,0.8491776826208735
KEEP,ResNet50 (ImageNet),0.6359396087822958,0.6589920155352386,0.3781025763335659,0.5209650781571885,0.5637247286006357,0.6483278515081532,0.8113416914442023
KEEP,UNI2-h,0.6093165141929239,0.6279397851506153,0.6209326507554648,0.673822648369129,0.5579414639370477,0.5781538293593328,0.7945777517616768
ResNet50 (ImageNet),UNI2-h,0.49495295276858503,0.5260323024673029,0.5018290786620355,0.5771354651634155,0.48731326968672645,0.5054374251244046,0.7271534338875882
