,CONCH v1.5,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH v1.5,1.0,0.8395976814133054,0.806603476893644,0.8668416894061253,0.8311196454278537,0.7503360902921745
CTransPath,0.8395976814133054,1.0,0.8779370025207084,0.8525580266179126,0.8869236548097053,0.8178716988369141
Prov-GigaPath,0.806603476893644,0.8779370025207084,1.0,0.8258541312336097,0.8068559210729994,0.8491776826208735
KEEP,0.8668416894061253,0.8525580266179126,0.8258541312336097,1.0,0.8113416914442023,0.7945777517616768
ResNet50 (ImageNet),0.8311196454278537,0.8869236548097053,0.8068559210729994,0.8113416914442023,1.0,0.7271534338875882
UNI2-h,0.7503360902921745,0.8178716988369141,0.8491776826208735,0.7945777517616768,0.7271534338875882,1.0
