,CONCH v1.5,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH v1.5,0.9999999999999998,0.5535165911147895,0.6452552545683526,0.5378072239495104,0.5359634447051433,0.640806125447436
CTransPath,0.5535165911147895,0.9999999999999996,0.6789812217977267,0.5468238643416028,0.6069390307298435,0.6721186503206174
Prov-GigaPath,0.6452552545683526,0.6789812217977267,0.9999999999999998,0.6609065366676352,0.588700143914089,0.5954135171454549
KEEP,0.5378072239495104,0.5468238643416028,0.6609065366676352,0.9999999999999993,0.5209650781571885,0.673822648369129
ResNet50 (ImageNet),0.5359634447051433,0.6069390307298435,0.588700143914089,0.5209650781571885,0.9999999999999997,0.5771354651634155
UNI2-h,0.640806125447436,0.6721186503206174,0.5954135171454549,0.673822648369129,0.5771354651634155,0.9999999999999996
