,CONCH v1.5,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH v1.5,1.0,0.610620674797475,0.71683766937666,0.6252490990224027,0.5583466551409986,0.7365150492549768
CTransPath,0.610620674797475,0.9999999999999997,0.6111212667346151,0.4260011374702565,0.47792683426602883,0.6290045072026694
Prov-GigaPath,0.71683766937666,0.6111212667346151,0.9999999999999996,0.581521819796238,0.48387831898765776,0.5008625170132671
KEEP,0.6252490990224027,0.4260011374702565,0.581521819796238,0.9999999999999997,0.3781025763335659,0.6209326507554648
ResNet50 (ImageNet),0.5583466551409986,0.47792683426602883,0.48387831898765776,0.3781025763335659,0.9999999999999998,0.5018290786620355
UNI2-h,0.7365150492549768,0.6290045072026694,0.5008625170132671,0.6209326507554648,0.5018290786620355,0.9999999999999997
