encoder,layer,depth,cka_to_first_block,width
uni_v2,blocks.0,0.0,1.0,1536
uni_v2,blocks.1,0.043478260869565216,0.9366480484060582,1536
uni_v2,blocks.2,0.08695652173913043,0.7836923831237615,1536
uni_v2,blocks.3,0.13043478260869565,0.7216932493149277,1536
uni_v2,blocks.4,0.17391304347826086,0.6444677295023785,1536
uni_v2,blocks.5,0.21739130434782608,0.5382427464946483,1536
uni_v2,blocks.6,0.2608695652173913,0.49556127696403257,1536
uni_v2,blocks.7,0.30434782608695654,0.47834413921747615,1536
uni_v2,blocks.8,0.34782608695652173,0.47735546874308615,1536
uni_v2,blocks.9,0.391304347826087,0.45704635128410775,1536
uni_v2,blocks.10,0.43478260869565216,0.4236769208392146,1536
uni_v2,blocks.11,0.4782608695652174,0.3785634520643232,1536
uni_v2,blocks.12,0.5217391304347826,0.3582383104779797,1536
uni_v2,blocks.13,0.5652173913043478,0.374682229600857,1536
uni_v2,blocks.14,0.6086956521739131,0.35953468506899183,1536
uni_v2,blocks.15,0.6521739130434783,0.37021309090291016,1536
uni_v2,blocks.16,0.6956521739130435,0.36526743426478553,1536
uni_v2,blocks.17,0.7391304347826086,0.37461634361215307,1536
uni_v2,blocks.18,0.782608695652174,0.3800937943305786,1536
uni_v2,blocks.19,0.8260869565217391,0.3676220534063525,1536
uni_v2,blocks.20,0.8695652173913043,0.3586822053100921,1536
uni_v2,blocks.21,0.9130434782608695,0.34787404811280315,1536
uni_v2,blocks.22,0.9565217391304348,0.33374750119879576,1536
uni_v2,blocks.23,1.0,0.3587606179892406,1536
conch_v1,trunk.blocks.0,0.0,1.0,768
conch_v1,trunk.blocks.1,0.09090909090909091,0.940176915252985,768
conch_v1,trunk.blocks.2,0.18181818181818182,0.8829233227512211,768
conch_v1,trunk.blocks.3,0.2727272727272727,0.7512016486802396,768
conch_v1,trunk.blocks.4,0.36363636363636365,0.6364753021689387,768
conch_v1,trunk.blocks.5,0.45454545454545453,0.5239548505802434,768
conch_v1,trunk.blocks.6,0.5454545454545454,0.49226306394720815,768
conch_v1,trunk.blocks.7,0.6363636363636364,0.4661038270923941,768
conch_v1,trunk.blocks.8,0.7272727272727273,0.4689170303835363,768
conch_v1,trunk.blocks.9,0.8181818181818182,0.4668798087597624,768
conch_v1,trunk.blocks.10,0.9090909090909091,0.4591928066986605,768
conch_v1,trunk.blocks.11,1.0,0.4665574843625541,768
ctranspath,layers.0.blocks.0,0.0,1.0,96
ctranspath,layers.1.blocks.0,0.09090909090909091,0.8241400491396734,192
ctranspath,layers.2.blocks.0,0.18181818181818182,0.6280585329049144,384
ctranspath,layers.3.blocks.0,0.2727272727272727,0.5712128462426745,768
ctranspath,layers.0.blocks.1,0.36363636363636365,0.9886891289575992,96
ctranspath,layers.1.blocks.1,0.45454545454545453,0.7956965160102323,192
ctranspath,layers.2.blocks.1,0.5454545454545454,0.6312994957516802,384
ctranspath,layers.3.blocks.1,0.6363636363636364,0.4586551437826984,768
ctranspath,layers.2.blocks.2,0.7272727272727273,0.6358470838637974,384
ctranspath,layers.2.blocks.3,0.8181818181818182,0.6343579018253934,384
ctranspath,layers.2.blocks.4,0.9090909090909091,0.6550238691968323,384
ctranspath,layers.2.blocks.5,1.0,0.6551106800498918,384
gigapath,blocks.0,0.0,1.0,1536
gigapath,blocks.1,0.02564102564102564,0.9957827153228634,1536
gigapath,blocks.2,0.05128205128205128,0.6875513405744271,1536
