,CONCH,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH,1.0,0.6856541320125065,0.5983115588892792,0.783675322584225,0.6667951347290064,0.672171493242047
CTransPath,0.6856541320125065,1.0,0.6680223360995688,0.6495226618439397,0.7194069827457229,0.6799845596685875
Prov-GigaPath,0.5983115588892792,0.6680223360995688,1.0,0.5875732315992848,0.6257855772809993,0.6443787404441239
KEEP,0.783675322584225,0.6495226618439397,0.5875732315992848,1.0,0.5721948653876041,0.7209738868186214
ResNet50 (ImageNet),0.6667951347290064,0.7194069827457229,0.6257855772809993,0.5721948653876041,1.0,0.5379340946966543
UNI2-h,0.672171493242047,0.6799845596685875,0.6443787404441239,0.7209738868186214,0.5379340946966543,1.0
