,CONCH,CTransPath,Prov-GigaPath,ResNet50 (ImageNet),UNI2-h
CONCH,1.0,0.6625461740305165,0.52898918275621,0.6099515242512973,0.5284534456606226
CTransPath,0.6625461740305165,1.0,0.6401738421365866,0.7200370741688102,0.6117307052151724
Prov-GigaPath,0.52898918275621,0.6401738421365866,1.0,0.5493019757601612,0.6633353099240273
ResNet50 (ImageNet),0.6099515242512973,0.7200370741688102,0.5493019757601612,1.0,0.5037244353917518
UNI2-h,0.5284534456606226,0.6117307052151724,0.6633353099240273,0.5037244353917518,1.0
