,CONCH,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH,1.0,0.8554748578752843,0.7934889136288472,0.8984403833683257,0.8344610716810806,0.8470582676997949
CTransPath,0.8554748578752843,1.0,0.8330165912808968,0.8234006787395789,0.866900809457726,0.844406659736561
Prov-GigaPath,0.7934889136288472,0.8330165912808968,1.0,0.7762906079569662,0.8021445193969395,0.8152910545675784
KEEP,0.8984403833683257,0.8234006787395789,0.7762906079569662,1.0,0.7621800966971843,0.8680696805027924
ResNet50 (ImageNet),0.8344610716810806,0.866900809457726,0.8021445193969395,0.7621800966971843,1.0,0.7524336644216949
UNI2-h,0.8470582676997949,0.844406659736561,0.8152910545675784,0.8680696805027924,0.7524336644216949,1.0
