source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
conch_v1,conch_v15,False,0.9002693846280072,0.5742432263057611,0.4257567736942389,0.5696,0.814,0.8788,0.679810940274524,0.679810940274524,1.0,0.7497417276828091,5000.0,5000.0
conch_v15,conch_v1,False,0.8845912801637403,0.6314587376091034,0.36854126239089663,0.6164,0.8478,0.9052,0.7205231446010493,0.7205231446010493,1.0,0.7825792080764103,5000.0,5000.0
conch_v1,conch_v1,True,0.9900011349143806,0.9674956930562401,0.03250430694375991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
conch_v15,conch_v15,True,0.9954390212658438,0.9804113538152577,0.01958864618474228,0.9996,1.0,1.0,0.9998,0.9998,1.0,0.9998523719014285,5000.0,5000.0
