,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.7128179339684164,0.6122978229338987,0.7108766912562622,0.6538301322985662
gigapath,0.7128179339684164,1.0,0.6238040915983187,0.573630747007328,0.7334777734217882
keep,0.6122978229338987,0.6238040915983187,1.0,0.4902473938315413,0.6343426502348176
resnet50,0.7108766912562622,0.573630747007328,0.4902473938315413,1.0,0.5188037479913825
uni_v2,0.6538301322985662,0.7334777734217882,0.6343426502348176,0.5188037479913825,1.0
