query,gpfm,hoptimus0,virchow,virchow2
gpfm,0.9996,0.949,0.9452,0.9728
hoptimus0,0.9534,0.9994,0.9348,0.9454
virchow,0.9564,0.9354,0.9994,0.959
virchow2,0.9718,0.939,0.9546,0.9994
