query,gpfm,hoptimus0,virchow,virchow2
gpfm,0.9996,0.983,0.9732,0.9562
hoptimus0,0.9828,0.9994,0.965,0.9484
virchow,0.9782,0.9704,0.9994,0.9714
virchow2,0.9676,0.9626,0.9718,0.9994
