query,gpfm,hoptimus0,virchow,virchow2
gpfm,0.9996,0.649,0.582,0.4708
hoptimus0,0.6128,0.9994,0.4896,0.3768
virchow,0.4278,0.4006,0.9994,0.3244
virchow2,0.5208,0.477,0.456,0.9994
