component,eigenvalue,view_agreement
0,5.892472879145268,0.9784945758290536
1,5.8472713811401125,0.9694542762280225
2,5.769827284667482,0.9539654569334963
3,5.671451486118944,0.9342902972237888
4,5.606436510329392,0.9212873020658783
5,5.512490757838099,0.9024981515676197
6,5.492882000490615,0.8985764000981231
7,5.4574847728047855,0.8914969545609571
8,5.359743179422568,0.8719486358845137
9,5.323208854267027,0.8646417708534054
10,5.2814980157846465,0.8562996031569293
11,5.231810437798507,0.8463620875597014
12,5.188874514444117,0.8377749028888234
13,5.1415534925728235,0.8283106985145647
14,4.991431114005954,0.7982862228011909
15,4.980625148521549,0.7961250297043098
16,4.913388807152465,0.7826777614304931
17,4.88046919299601,0.776093838599202
18,4.855470682886364,0.7710941365772728
19,4.736376186054357,0.7472752372108713
20,4.709934036057253,0.7419868072114506
21,4.679212441525276,0.7358424883050552
22,4.6044206170820825,0.7208841234164165
23,4.568587083163947,0.7137174166327893
24,4.5295850586959645,0.7059170117391929
25,4.484200272979006,0.6968400545958012
26,4.434132494017579,0.6868264988035158
27,4.418414280798487,0.6836828561596974
28,4.346375699557493,0.6692751399114986
29,4.325992595665799,0.6651985191331597
30,4.302290299889402,0.6604580599778804
31,4.281527673261298,0.6563055346522596
32,4.2689805205928995,0.6537961041185799
33,4.159663633472853,0.6319327266945706
34,4.129064834476834,0.6258129668953668
35,4.056911716167344,0.6113823432334687
36,4.0302072446492385,0.6060414489298477
37,3.9989838910975215,0.5997967782195043
38,3.9483008732330416,0.5896601746466084
39,3.9288772764956907,0.5857754552991381
40,3.8991546349981174,0.5798309269996235
41,3.8803192730097478,0.5760638546019495
42,3.8099700776369407,0.5619940155273881
43,3.7901292094373544,0.5580258418874708
44,3.747551922424183,0.5495103844848366
45,3.709622339414979,0.5419244678829959
46,3.6878567372632123,0.5375713474526425
47,3.633655683641132,0.5267311367282264
48,3.5833111089031164,0.5166622217806233
49,3.5564084356695282,0.5112816871339056
50,3.522327608995537,0.5044655217991074
51,3.5148199474794937,0.5029639894958987
52,3.4814953338777426,0.4962990667755485
53,3.455799034744576,0.4911598069489152
54,3.4113855408312954,0.48227710816625907
55,3.3855978420361055,0.4771195684072211
56,3.3782924402583188,0.4756584880516638
57,3.362517821262513,0.4725035642525026
58,3.32877752213853,0.46575550442770597
59,3.266323545994701,0.4532647091989402
60,3.1907756651258032,0.4381551330251606
61,3.173534033085337,0.43470680661706745
62,3.1541626792577135,0.4308325358515427
63,3.108363733417963,0.4216727466835926
