,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.6886060203114551,0.6817247672649508,0.6452820084525277,0.5651331185314542,0.6842063262692393
ctranspath,0.6886060203114551,1.0,0.7384142527998078,0.6640332722736612,0.6808492236772831,0.7251376736833118
gigapath,0.6817247672649508,0.7384142527998078,1.0,0.673907675448842,0.6143784138669716,0.7743777881419333
keep,0.6452820084525277,0.6640332722736612,0.673907675448842,1.0,0.5243757785822281,0.6984633296677144
resnet50,0.5651331185314542,0.6808492236772831,0.6143784138669716,0.5243757785822281,1.0,0.5821069260822213
uni_v2,0.6842063262692393,0.7251376736833118,0.7743777881419333,0.6984633296677144,0.5821069260822213,1.0
