model,nmse,r2,cosine
conch_v1,0.13784922389706378,0.8621507761029362,0.9560953809920271
ctranspath,0.2065687933740686,0.7934312066259314,0.9590647866096925
gigapath,0.4855699801808538,0.5144300198191463,0.7780433994551144
keep,0.2893752837058629,0.710624716294137,0.8968507994480007
resnet50,0.16970620513889925,0.8302937948611008,0.9839925701560055
uni_v2,0.4774644215501729,0.5225355784498271,0.7717828081582531
