query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9764,0.971,0.959
hoptimus0,0.9798,1.0,0.9676,0.9536
virchow,0.9788,0.9744,1.0,0.9644
virchow2,0.969,0.9598,0.9666,1.0
