query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9114,0.9206,0.9536
hoptimus0,0.9134,1.0,0.906,0.9316
virchow,0.9206,0.9068,1.0,0.9512
virchow2,0.9534,0.9244,0.946,1.0
