query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.0002,0.0002,0.0002
hoptimus0,0.0,1.0,0.0,0.0002
virchow,0.0006,0.0,1.0,0.0
virchow2,0.0002,0.0002,0.0002,1.0
