query,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9554,0.958,0.9736
hoptimus0,0.96,1.0,0.9692,0.9762
virchow,0.9632,0.969,1.0,0.9836
virchow2,0.9764,0.9746,0.9798,1.0
